id,nombre_completo,especialidad
1,Ana Sanchez Flores,Ortopedia
2,Juan Lopez Garcia,Urologia
3,Sofia Garcia Garcia,Dermatologia
4,Carlos Ramirez Sanchez,Psiquiatria
5,Miguel Martinez Martinez,Ginecologia
6,Juan Sanchez Martinez,Ortopedia
7,Carlos Flores Perez,Psiquiatria
8,Pedro Garcia Martinez,Oftalmologia
9,Laura Hernandez Sanchez,Cardiologia
10,Ana Garcia Gonzalez,Ortopedia
11,Ana Martinez Flores,Oncologia
12,Ana Hernandez Sanchez,Ortopedia
13,Juan Gonzalez Sanchez,Urologia
14,Ana Garcia Hernandez,Psiquiatria
15,Maria Gonzalez Flores,Ginecologia
16,Sofia Lopez Ramirez,Neurologia
17,Lucia Flores Flores,Dermatologia
18,Maria Flores Lopez,Pediatria
19,Pedro Gonzalez Flores,Neurologia
20,Miguel Gonzalez Hernandez,Cardiologia
21,Miguel Flores Gonzalez,Ginecologia
22,Sofia Garcia Rodriguez,Cardiologia
23,Laura Rodriguez Rodriguez,Oncologia
24,Maria Ramirez Sanchez,Oftalmologia
25,Laura Ramirez Garcia,Neurologia
26,Juan Gonzalez Rodriguez,Ginecologia
27,Sofia Perez Garcia,Psiquiatria
28,Ana Perez Martinez,Urologia
29,Juan Hernandez Rodriguez,Pediatria
30,Ana Hernandez Lopez,Ortopedia
31,Luis Martinez Martinez,Cardiologia
32,Sofia Rodriguez Garcia,Urologia
33,Laura Gonzalez Hernandez,Pediatria
34,Sofia Hernandez Perez,Cardiologia
35,Laura Ramirez Hernandez,Pediatria
36,Lucia Flores Sanchez,Pediatria
37,Sofia Flores Martinez,Pediatria
38,Juan Garcia Rodriguez,Ortopedia
39,Maria Lopez Garcia,Oftalmologia
40,Juan Gonzalez Flores,Psiquiatria
41,Maria Martinez Garcia,Ginecologia
42,Juan Gonzalez Rodriguez,Psiquiatria
43,Maria Flores Rodriguez,Neurologia
44,Lucia Flores Garcia,Oftalmologia
45,Carlos Sanchez Rodriguez,Urologia
46,Lucia Martinez Perez,Cardiologia
47,Sofia Ramirez Perez,Urologia
48,Ana Martinez Martinez,Cardiologia
49,Lucia Martinez Flores,Neurologia
50,Lucia Lopez Ramirez,Oncologia
51,Laura Rodriguez Sanchez,Urologia
52,Sofia Lopez Hernandez,Dermatologia
53,Juan Garcia Lopez,Oncologia
54,Lucia Rodriguez Ramirez,Ortopedia
55,Luis Flores Ramirez,Dermatologia
56,Pedro Sanchez Gonzalez,Urologia
57,Laura Gonzalez Perez,Cardiologia
58,Miguel Flores Lopez,Cardiologia
59,Ana Ramirez Ramirez,Cardiologia
